MEDCPT_SIM,BERT_SIM,CONTRADICTION,RULE_RISK,SIM_DIFF,HIGH_CONTRA_LOW_SIM
0.79320264,0.89414907,0.051965195685625,0.10393039137125,-0.10094643000000003,0
1.0,1.0000001,0.0268046129494905,0.053609225898981,-1.0000000005838672e-07,0
0.8047708,0.9068459,0.2183166742324829,0.4366333484649658,-0.10207509999999997,0
0.91719174,0.9073279,0.0339733473956584,0.0679466947913168,0.009863840000000068,0
0.8366394,0.896327,0.0277092400938272,0.0554184801876544,-0.05968759999999995,0
0.91061634,0.9452455,0.0468632839620113,0.0937265679240226,-0.03462915999999994,0
0.99354297,0.99842554,0.0018869595369324,0.0037739190738648,-0.0048825699999999195,0
0.7822923,0.85392225,0.8368144631385803,1.6736289262771606,-0.07162994999999994,0
0.96684235,0.9366765,0.0004058562044519,0.0008117124089038,0.03016584999999994,0
1.0,0.99999976,0.9316065311431884,1.8632130622863767,2.399999999846969e-07,0
0.61750257,0.67920005,0.2644336521625519,0.5288673043251038,-0.06169748000000008,0
0.81673896,0.81105924,0.5413666367530823,1.0827332735061646,0.005679720000000055,0
0.99999994,1.0000001,0.0009416045504622,0.0018832091009244,-1.6000000002680537e-07,0
0.9942689,0.98062676,0.0005812274757772,1.0011624549515543,0.01364213999999997,0
0.8710909,0.91408896,0.0727705508470535,0.145541101694107,-0.04299805999999995,0
0.82217854,0.86910313,0.3884328305721283,0.7768656611442566,-0.04692458999999993,0
0.9064997,0.8954878,0.0094079105183482,0.0188158210366964,0.011011900000000074,0
0.99999976,0.99999964,0.0011625078041106,0.0023250156082212,1.200000000478596e-07,0
0.8973347,0.9114395,0.0005353472661226,1.0010706945322452,-0.014104799999999917,0
0.9584449,0.8917339,0.7262139320373535,1.452427864074707,0.06671100000000008,0
0.62524736,0.7560243,0.5732555389404297,1.1465110778808594,-0.13077693999999995,0
0.7235834,0.8134644,0.6300917267799377,3.2601834535598755,-0.08988099999999999,0
0.88410985,0.8981941,0.2141762375831604,0.4283524751663208,-0.01408425000000002,0
0.8423112,0.8566657,0.8321816921234131,1.6643633842468262,-0.014354499999999937,0
0.85966676,0.8133327,0.0693448409438133,0.1386896818876266,0.046334059999999955,0
0.7927087,0.9362218,0.0161225143820047,0.0322450287640094,-0.14351309999999995,0
0.64852667,0.69660753,0.0026709882076829,0.0053419764153658,-0.04808086,0
1.0,1.0,0.0324345380067825,0.064869076013565,0.0,0
0.98955905,0.8869122,0.4291627705097198,0.8583255410194396,0.10264684999999996,0
0.99404883,0.996702,0.0019547308329492,0.0039094616658984,-0.0026531699999999825,0
1.0000001,1.0000001,0.0718116387724876,0.1436232775449752,0.0,0
0.8882548,0.9038,0.1680505722761154,0.3361011445522308,-0.015545200000000037,0
0.5162554,0.73815334,0.2349759191274643,0.4699518382549286,-0.22189793999999996,0
0.8309013,0.8866164,0.0225803665816783,0.0451607331633566,-0.05571510000000002,0
0.92583394,0.9706561,0.7278220057487488,1.4556440114974976,-0.044822160000000055,0
0.8728621,0.86733836,0.9143489003181458,1.8286978006362915,0.005523739999999999,0
0.89721954,0.8941779,0.0214719418436288,0.0429438836872576,0.0030416400000000676,0
1.0000002,0.9999998,0.0568374544382095,0.113674908876419,3.9999999990047996e-07,0
0.84121597,0.9052056,0.0004028110415674,0.0008056220831348,-0.06398963000000002,0
0.86438406,0.93485546,0.0123631935566663,0.0247263871133326,-0.07047139999999996,0
0.7447258,0.85279715,0.2463427186012268,0.4926854372024536,-0.10807135000000001,0
0.8400173,0.82603663,0.2987215220928192,0.5974430441856384,0.013980669999999917,0
0.83677757,0.8790212,0.1285434812307357,0.2570869624614714,-0.042243629999999976,0
0.7164038,0.9041983,0.5780496597290039,1.1560993194580078,-0.18779449999999998,0
0.84442115,0.87250304,8.981460268842056e-05,0.00017962920537684113,-0.028081890000000054,0
0.6931704,0.7934638,0.0857180431485176,0.1714360862970352,-0.10029340000000009,0
0.9128808,0.9443944,0.0723399072885513,0.1446798145771026,-0.03151359999999992,0
